ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21773,HY174696,03/07/2015 01:52:00 AM,010XX W 18TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1235,012,25,31,01A,1169618,1891581,2015,08/17/2015 03:03:40 PM,41.858003291,-87.652876321,"(41.858003291, -87.652876321)"
21774,HY175374,03/07/2015 04:41:00 PM,020XX W 47TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,0924,009,12,61,01A,1163779,1873499,2015,08/17/2015 03:03:40 PM,41.808509341,-87.674817794,"(41.808509341, -87.674817794)"
22212,HY175983,03/08/2015 03:00:00 AM,003XX S ALBANY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1124,011,28,27,01A,,,2015,12/10/2015 03:54:20 PM,,,
21775,HY176662,03/08/2015 06:33:00 PM,065XX S KIMBARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0321,003,20,42,01A,1185763,1861895,2015,08/17/2015 03:03:40 PM,41.776176511,-87.594551952,"(41.776176511, -87.594551952)"
21776,HY177178,03/09/2015 09:36:00 AM,028XX S AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1031,010,22,30,01A,1151168,1884889,2015,08/17/2015 03:03:40 PM,41.840020892,-87.720774668,"(41.840020892, -87.720774668)"
21777,HY177586,03/09/2015 02:52:00 PM,009XX W AGATITE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1914,019,46,3,01A,1169181,1929732,2015,08/17/2015 03:03:40 PM,41.96270134,-87.653370223,"(41.96270134, -87.653370223)"
21778,HY177958,03/09/2015 07:41:00 PM,002XX W 105TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0512,005,34,49,01A,1176504,1835313,2015,08/31/2015 03:38:55 PM,41.703445434,-87.629291729,"(41.703445434, -87.629291729)"
21779,HY178055,03/09/2015 07:53:00 PM,092XX S ADA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2222,022,21,73,01A,1168954,1843415,2015,08/17/2015 03:03:40 PM,41.725844616,-87.65670508,"(41.725844616, -87.65670508)"
21780,HY185125,03/15/2015 04:49:00 AM,050XX N HARDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1712,017,39,14,01A,1149148,1933139,2015,08/17/2015 03:03:40 PM,41.972462991,-87.726935628,"(41.972462991, -87.726935628)"
21781,HY185434,03/15/2015 01:21:00 PM,058XX W PATTERSON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1633,016,38,15,01A,1136800,1923676,2015,08/17/2015 03:03:40 PM,41.946726473,-87.772569826,"(41.946726473, -87.772569826)"
